Base ID,Full Project Name,Description,Supply,web-name,Project Category,Medical Supply ID,Individual Design ID,All Revisions,Last Revision,Last_ID,textid,Design Priority,Rec Level,Link,Link 2,Link 3,HeaderImage,HeaderImageURL,What License,When Indexed,Attribution Organization,Creator,Use Case,Audience: Risk,MedTeam Design Specific Notes,Other Notes:,Revision Table Schema,Med Team Notes,Numerical ID,Kimly's Don't Touch Please,General Skills/Tools,Design Files,Manufacturing Audience,Bill of Materials,Tools Necessary,Difficulty,Approximate Production Time,Kill,Kill_2,When Reviewed,Reviewed By,Google Doc Notes,Google Doc Note #2,Recommendation
02-01-WE_CAN_SEW, “We Can Sew It” Mask,,Face Masks,face-masks,Supply,02,01,,,02-01-WE_CAN_SEW-,WE_CAN_SEW,High,Yes,https://bit.ly/2UaFAHK,,,WeCanSewItFACEMASKSEWN.jpg (https://dl.airtable.com/.attachments/d25ac2226cf82be904a0737c5e8f68b3/2f6ea759/WeCanSewItFACEMASKSEWN.jpg),https://dl.airtable.com/.attachments/d25ac2226cf82be904a0737c5e8f68b3/2f6ea759/WeCanSewItFACEMASKSEWN.jpg,,,"St. Joseph Hospital, Denver",,Reusable,"""Community: low risk, preventative measure, used for < 6hrs"",Essential/Service workers: high risk for social exposure/community transmission,Healthcare: high risk of exposure to COVID patients","'- Using different colors on the front (outside facing; lighter color is better) and back (inside facing) part of the mask is ideal so that the sides can easily be recognized
- If using to protect existing PPE, using a light color for the outside of the mask is best so that the wearer can easily see soiling

",,,,02-01,,General Sewing,,"Maker- home,DIY ",,,Easy: No experience required,,,,3/21/2020,OSCMS Medical Review Team,"Note: Please see documentation regarding the filtering properties of various fabrics, as well as our sewist guide; good for use over existing PPE (surgical masks and N95s) as designed. Uses ties not earloops.
",,Sew - additional
02-02-PHOEBE,Phoebe Health Mask,Two-layered cloth mask intended as a protective cover for the duck-billed N95,Face Masks,face-masks,Supply,02,02,,,02-02-PHOEBE-,PHOEBE,,Yes,https://www.phoebehealth.com/patients-and-visitors/coronavirus/mask-production,,,PhoebeHealthFACEMASKSEWN.jpg (https://dl.airtable.com/.attachments/4f4cde3d1e0d7b293f57709c11b27ae0/e03e315b/PhoebeHealthFACEMASKSEWN.jpg),https://dl.airtable.com/.attachments/4f4cde3d1e0d7b293f57709c11b27ae0/e03e315b/PhoebeHealthFACEMASKSEWN.jpg,,,Phoebe Health,,Reusable,"Healthcare: high risk of exposure to COVID patients,ER/ICU staff: long exposure to critical COVID patients","'- This design works especially well as a protective cover for the duckbill shape of some N95 masks; please ensure fit. Non-latex elastic or adopt ties for behind the head.
- Using different colors on the front (outside facing; lighter color is better) and back (inside facing) part of the mask is ideal so that the sides can easily be recognized
- If using to protect existing PPE, using a light color for the outside of the mask is best so that the wearer can easily see soiling",,,,02-02,,"2D Inkprinter/Laser Cutter,General Sewing",,"Maker- home,DIY ",,,Easy: No experience required,,,,3/21/2020,OSCMS Medical Review Team,"Note: This design works especially well as a protective cover for the duckbill shape of some N95 masks; please ensure fit. Non-latex elastic or adopt ties for behind the head.
",,Sew - Top Recommended
02-03-ST_JOSEPH, Providence St. Joseph Health Face Mask Kit,Detailed video tutorial for making a pleated mask out of non-woven polypropylene.,Face Masks,face-masks,Supply,02,03,,,02-03-ST_JOSEPH-,ST_JOSEPH,,Yes,https://vimeo.com/399324367/13cd93f150,,,ProvidenceStJosephFACEMASKSEWN.jpg (https://dl.airtable.com/.attachments/364400e7fd13cfa480f8620f62cf2299/1081dd16/ProvidenceStJosephFACEMASKSEWN.jpg),https://dl.airtable.com/.attachments/364400e7fd13cfa480f8620f62cf2299/1081dd16/ProvidenceStJosephFACEMASKSEWN.jpg,,,PSJH Digital,,Single-Use,"""Community: low risk, preventative measure, used for < 6hrs"",Essential/Service workers: high risk for social exposure/community transmission,Healthcare: high risk of exposure to COVID patients","
",,,,02-03,,General Sewing,,"Maker- home,DIY ",,,Easy: No experience required,,,,3/21/2020,Providence St. Joseph Health System,"Note: Video available; uses ties. Very similar to “We Can Sew It”
",,Sew - additional
02-04-HELPFUL,Helpful Engineering Cloth Mask,,Face Masks,face-masks,Supply,02,04,,,02-04-HELPFUL-,HELPFUL,,Yes,http://project-cloth-masks.com,https://makermask.org/the-big-four-criteria-for-community-mask-materials/,,HelpfulEngineeringFACEMASKSEWN.jpg (https://dl.airtable.com/.attachments/403529e1fc3074ec96208e5645ce65b4/c8ead2d3/HelpfulEngineeringFACEMASKSEWN.jpg),https://dl.airtable.com/.attachments/403529e1fc3074ec96208e5645ce65b4/c8ead2d3/HelpfulEngineeringFACEMASKSEWN.jpg,Creative Commons Attribution 4.0 International,,Maker Mask,Jocelyn Songer and Alexander Bissel,Reusable,"""Community: low risk, preventative measure, used for < 6hrs"",Essential/Service workers: high risk for social exposure/community transmission","'- Using different colors on the front (outside facing; lighter color is better) and back (inside facing) part of the mask is ideal so that the sides can easily be recognized
- Please review details for mask material at MakerMask.org (included in links) ","Cautionary statement: There is substantial variability in the composition and coatings of NWPP. Follow guidance to ensure accurate identification of materials. NWPP can be boiled to sanitize/decontaminate it. For more information, please view this thoroughly researched information page at Maker Mask. 

https://makermask.org/the-big-four-criteria-for-community-mask-materials/",,,02-04,,General Sewing,,"Maker- home,DIY ",,,Easy: No experience required,,,,3/21/2020,OSCMS Medical Review Team,,,
02-05-HABITAT,Maker’s Habitat DIY Fabric Mask,Video tutorial demonstrating mask construction with an optional filter placement.,Face Masks,face-masks,Supply,02,05,,,02-05-HABITAT-,HABITAT,,Yes,https://www.facebook.com/watch/?v=2504854873098703,https://www.makershabitat.com/blogs/the-maker-s-habitat-blog/diy-fabric-mask-tutorial?fbclid=IwAR3Um1dU6Fw9QK5v4dW7HAXDHn5SlX9b4u8ox7jGm6oQCkMaUT31DDUAhzQ,https://www.youtube.com/watch?v=S9RWII2-5_4&feature=emb_logo,MakersHabitatFACEMASKSEWN.jpg (https://dl.airtable.com/.attachments/be4963df43431cb7dc22cf0c23ac9963/1994f1e7/MakersHabitatFACEMASKSEWN.jpg),https://dl.airtable.com/.attachments/be4963df43431cb7dc22cf0c23ac9963/1994f1e7/MakersHabitatFACEMASKSEWN.jpg,,,Maker's Habitat,Ching,Reusable,"""Community: low risk, preventative measure, used for < 6hrs"",Essential/Service workers: high risk for social exposure/community transmission,Healthcare: high risk of exposure to COVID patients","'- Using different colors on the front (outside facing; lighter color is better) and back (inside facing) part of the mask is ideal so that the sides can easily be recognized
- If using to protect existing PPE, using a light color for the outside of the mask is best so that the wearer can easily see soiling
- Without filter addition, this mask could be used to cover an existing N95.
- Design uses ties behind the head rather than elastics, which is preferred practice.
",,,,02-05,,General Sewing,,"Maker- home,DIY ",,,Easy: No experience required,,,,3/23/2020,OSCMS Medical Review Team,"Note: Please use our filtering resources/documentation. Without the filter, this design is good for use over existing PPE - ties are preferred over loops. For the filter, consider non-woven polypropylene (see Helpful Engineering mask). Understand variations in NWPP material before using. Sterilization guidance is emerging; for now, consider these masks single use.",,Sew - additional
02-06-HOW,How to Make a Face Mask,,Face Masks,face-masks,Supply,02,06,,,02-06-HOW-,HOW,,Yes,https://www.deaconess.com/How-to-make-a-Face-Mask?fbclid=IwAR04i5kkboCkzeXcfb-XhQAyf3m5GLiowyZVkStK39sYbcSiHz17JZ84_mY,,,HowToFACEMASKSEWN.jpg (https://dl.airtable.com/.attachments/9fb7acf9389159cb74fd5d652bdc2cfd/eb4b260c/HowToFACEMASKSEWN.jpg),https://dl.airtable.com/.attachments/9fb7acf9389159cb74fd5d652bdc2cfd/eb4b260c/HowToFACEMASKSEWN.jpg,,,Deaconess,,Reusable,"""Community: low risk, preventative measure, used for < 6hrs"",Essential/Service workers: high risk for social exposure/community transmission,Healthcare: high risk of exposure to COVID patients","'- Using different colors on the front (outside facing; lighter color is better) and back (inside facing) part of the mask is ideal so that the sides can easily be recognized.
- If using to protect existing PPE, using a light color for the outside of the mask is best so that the wearer can easily see soiling
",Note: Please see documentation regarding the filtering properties of various fabrics; will only be useful to clinical settings if worn over existing PPE as designed. Do not use latex elastics if designing for healthcare.,,,02-06,,General Sewing,,"Maker- home,DIY ",,,Easy: No experience required,,,,3/20/2020,OSCMS Medical Review Team,Note: Please see documentation regarding the filtering properties of various fabrics; will only be useful to clinical settings if worn over existing PPE as designed. Do not use latex elastics if designing for healthcare.,,Sew - additional
02-07-NO_SEW,No-Sew Pleated Face Mask ,"Easy to construct mask using a handkerchief and hair ties, with an optional filter addition.",Face Masks,face-masks,Supply,02,07,,,02-07-NO_SEW-,NO_SEW,,Yes,http://blog.japanesecreations.com/no-sew-face-mask-with-handkerchief-and-hair-tie,,,NoSewPleatedFACEMASKNONSEWN.jpg (https://dl.airtable.com/.attachments/3caa63a8e2901ee759437a137ebccf44/59c16002/NoSewPleatedFACEMASKNONSEWN.jpg),https://dl.airtable.com/.attachments/3caa63a8e2901ee759437a137ebccf44/59c16002/NoSewPleatedFACEMASKNONSEWN.jpg,,,,,Reusable,"""Community: low risk, preventative measure, used for < 6hrs"",Essential/Service workers: high risk for social exposure/community transmission","- Note: This design is for use by members of the general public only and is not suitable for healthcare workers. 100% cotton is recommended for this mask, as cotton blends will be difficult to breathe through when layered. 
- Hair ties may contain latex or cause irritation to the ears. We recommend using other alternatives.
",Link 2 is a CDC resource page with instructional video at the bottom,,,02-07,,,,"Maker- home,DIY ",,,Easy: No experience required,,,,4/1/2020,OSCMS Medical Review Team,"Note: This design is for use by members of the general public only and is not suitable for healthcare workers. 100% cotton is recommended for this mask, as cotton blends will be difficult to breathe through when layered. 
Hair ties may contain latex or cause irritation to the ears. We recommend using some of the other alternatives listed at the end of the page.","The US Surgeon General has also created a video demonstrating  this style of mask. (Visit this CDC resource page and scroll down to the embedded video.)

https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cloth-face-cover.html

Coffee filters can be incorporated into this style of mask for additional filtration, as demonstrated in this CDC resource

https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html ",No Sew - recommended
02-08-5MIN_NO_SEW,5-Minute No-Sew DIY Mask for Coronavirus,"You only need an old t-shirt, scissors, our template linked (optional), and a pipe cleaner (optional) to make this mask. There is no sewing required.",Face Masks,face-masks,Supply,02,08,,,02-08-5MIN_NO_SEW-,5MIN_NO_SEW,,Yes,https://youtu.be/Mr1o0X275jU,https://imgur.com/xKjbhKB,https://imgur.com/9cgoJZ2,FiveMinuteDiyMASKNONSEWN.jpg (https://dl.airtable.com/.attachments/496160f1ceda55978d8186108137c891/6756cf3c/FiveMinuteDiyMASKNONSEWN.jpg),https://dl.airtable.com/.attachments/496160f1ceda55978d8186108137c891/6756cf3c/FiveMinuteDiyMASKNONSEWN.jpg,,,,,Reusable,"""Community: low risk, preventative measure, used for < 6hrs"",Essential/Service workers: high risk for social exposure/community transmission","- Note: This design is for use by members of the general public only and is not suitable for healthcare workers. 100% cotton is recommended for this mask, as cotton blends will be difficult to breathe through when double-layered. 
- This variation has the advantage of creating a pocket that can hold additional filtration material. 


",The imgur links are for the template used in the video and a helpful infographic.,,,02-08,,2D Inkprinter/Laser Cutter,,"Maker- home,DIY ",,,Easy: No experience required,,,,4/1/2020,OSCMS Medical Review Team,"Note: This design is for use by members of the general public only and is not suitable for healthcare workers. 100% cotton is recommended for this mask, as cotton blends will be difficult to breathe through when double-layered. ",This variation has the advantage of creating a pocket that can hold additional filtration material.,No Sew - recommended
02-09-SURGE,MakerMask: Surge,"The MakerMask:Surge is designed to wear as a standalone mask for droplet protection and filtration. The Surge design provides a water-resistant alternative to cotton masks, optimized for ease of construction by home sewists.",Face Masks,face-masks,Supply,02,09,,,02-09-SURGE-,SURGE,,,https://makermask.org/masks/surge,,,headerimage.jpg (https://dl.airtable.com/.attachments/d2b5deed19c002a5b7cf2e3ed3a566f0/16d42f31/headerimage.jpg),https://dl.airtable.com/.attachments/d2b5deed19c002a5b7cf2e3ed3a566f0/16d42f31/headerimage.jpg,Creative Commons Attribution 4.0 International,,Maker Mask,Jocelyn Songer and Alexander Bissel,Reusable,,"'- Note: “Non woven polypropylene (NWPP) is commonly used in surgical masks and can be easily sewn into masks that can block the spread of droplets from coughs and sneezes” - Community Pleated Masks. 
","Cautionary statement: There is substantial variability in the composition and coatings of NWPP. Follow guidance to ensure accurate identification of materials. NWPP can be boiled to sanitize/decontaminate it. For more information, please view this thoroughly researched information page at Maker Mask. 

https://makermask.org/the-big-four-criteria-for-community-mask-
materials/

",,,02-09,,General Sewing,,"Maker- home,DIY ",,,Easy: No experience required,,,,3/21/2020,OSCMS Medical Review Team,"Note: “Non woven polypropylene (NWPP) is commonly used in surgical masks and can be easily sewn into masks that can block the spread of droplets from coughs and sneezes” - Community Pleated Masks. 

Design uses ties behind the head rather than elastics, which is preferred practice.
","Cautionary statement: There is substantial variability in the composition and coatings of NWPP. Follow guidance to ensure accurate identification of materials. NWPP can be boiled to sanitize/decontaminate it. For more information, please view thoroughly researched information page at Maker Mask.  https://makermask.org/the-big-four-criteria-for-community-mask-materials/",Sew - Top Recommended
02-10-CLOVER,MakeMask 2020,"This pattern is a pleated rectangular “surgical-style” face mask that is easy and quick for new sewists and combines the best elements of well-known patterns such as the Deaconess, A.B. mask (For a nurse, by a nurse), We Can Sew It, the Cynthia, and the Erin.",Face Masks,face-masks,Supply,02,10,,,02-10-CLOVER-,CLOVER,,,https://www.makemasks2020.org/mask-making-guide,https://docs.google.com/document/d/1lwMOroLAnfWthRa_HhSvmh74UXFFaxG4bflLk9_ZWPE/edit,,headerimage.PNG (https://dl.airtable.com/.attachments/89b8967759fe67fe160e630426424db7/3852e6b3/headerimage.PNG),https://dl.airtable.com/.attachments/89b8967759fe67fe160e630426424db7/3852e6b3/headerimage.PNG,,,,,Reusable,,,,,,02-10,,General Sewing,,"Maker- home,DIY ",,,Easy: No experience required,,,,4/1/2020,OSCMS Medical Review Team,"Note: This resource also includes variations on how to incorporate elastic (recommended for personal use only/not for donation). This resource also matches users with donation sites to facilitate distribution of maker-produced masks.
",,Sew - Top Recommended
